component,feature,loading,abs_loading
PC9,Away_pens_made,0.1934880426713205,0.1934880426713205
PC10,Home_pens_won,0.275093194354325,0.275093194354325
PC10,Away_pens_conceded,0.2675612577708461,0.2675612577708461
PC10,Home_assists,-0.23840153678060289,0.23840153678060289
PC10,Home_pens_att,0.23214590389015166,0.23214590389015166
PC10,Away_keeper_gk_save_pct,0.21755124147152408,0.21755124147152408
PC10,Home_pens_made,0.2165365811067289,0.2165365811067289
PC10,Away_saves,0.20152425675999683,0.20152425675999683
PC10,Away_pens_won,0.19771779718962584,0.19771779718962584
PC10,Home_tackles_won,0.19697009323344536,0.19697009323344536
PC10,Home_pens_conceded,0.19580248176921325,0.19580248176921325
PC11,Away_fouled,0.33415473990897077,0.33415473990897077
PC11,Home_fouls,0.331611849399377,0.331611849399377
PC11,Home_fouled,-0.3092424496780535,0.3092424496780535
PC11,Home_cards_yellow,0.3053463765289611,0.3053463765289611
PC11,Home_cards,0.3051876199950977,0.3051876199950977
PC11,Away_fouls,-0.3036839331587395,0.3036839331587395
PC11,Away_cards_yellow,-0.28923782863181663,0.28923782863181663
PC11,Away_cards,-0.2889853375192662,0.2889853375192662
PC11,Home_clearances,-0.12852165082516898,0.12852165082516898
PC11,Home_goal_kicks,-0.12773755230807882,0.12773755230807882
PC12,Away_fouls,-0.3213932264691881,0.3213932264691881
PC12,Home_fouled,-0.3206883058867532,0.3206883058867532
PC12,Away_fouled,-0.2997056964419329,0.2997056964419329
PC12,Home_fouls,-0.29786019157397153,0.29786019157397153
PC12,Away_cards,0.26313802968634725,0.26313802968634725
PC12,Away_cards_yellow,0.26297645795796565,0.26297645795796565
PC12,Home_cards,0.24138465243456006,0.24138465243456006
PC12,Home_cards_yellow,0.24108627730498536,0.24108627730498536
PC12,Away_cards_red,0.2056359337712909,0.2056359337712909
PC12,Away_tackles,0.1860779535092764,0.1860779535092764
PC13,Away_crosses,0.31903831326648247,0.31903831326648247
PC13,Away_corners,0.26696688609878627,0.26696688609878627
PC13,Home_cards_yellow,0.21239550313831632,0.21239550313831632
